date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:05:54	216441/216441	---M--	200	added ('OK')	image/png	etag:%2234d79-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/5/medium_443bf76990662016d638b327954e8e44.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/5/medium_443bf76990662016d638b327954e8e44.png	(from https://ardor-profile.herokuapp.com/)
11:05:55	70916/70916	---M--	200	added ('OK')	image/png	etag:%2211504-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/20/medium_b6d2eeadb55af2827b9a54abaf34085f.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/20/medium_b6d2eeadb55af2827b9a54abaf34085f.png	(from https://ardor-profile.herokuapp.com/)
11:05:55	135728/135728	---M--	200	added ('OK')	image/png	etag:%2221230-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/20/big_b6d2eeadb55af2827b9a54abaf34085f.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/20/big_b6d2eeadb55af2827b9a54abaf34085f.png	(from https://ardor-profile.herokuapp.com/)
11:05:56	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:56%20GMT	https://ardor-profile.herokuapp.com/en/projects/6.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/6.html	(from https://ardor-profile.herokuapp.com/)
11:05:56	551956/551956	---M--	200	added ('OK')	image/png	etag:%2286c14-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/5/big_443bf76990662016d638b327954e8e44.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/5/big_443bf76990662016d638b327954e8e44.png	(from https://ardor-profile.herokuapp.com/)
11:05:57	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:05:57%20GMT	https://ardor-profile.herokuapp.com/en/projects/8.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/8.html	(from https://ardor-profile.herokuapp.com/)
11:05:58	285067/285067	---M--	200	added ('OK')	image/png	etag:%224598b-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/17/medium_6eca33a151aac65a479015d51c9ca393.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/17/medium_6eca33a151aac65a479015d51c9ca393.png	(from https://ardor-profile.herokuapp.com/)
11:06:00	283164/283164	---M--	200	added ('OK')	image/png	etag:%224521c-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/23/medium_112450c6b858040fd49c96aede242de6.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/23/medium_112450c6b858040fd49c96aede242de6.png	(from https://ardor-profile.herokuapp.com/)
11:06:00	647742/647742	---M--	200	added ('OK')	image/png	etag:%229e23e-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/17/big_6eca33a151aac65a479015d51c9ca393.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/17/big_6eca33a151aac65a479015d51c9ca393.png	(from https://ardor-profile.herokuapp.com/)
11:06:00	947388/947388	---M--	200	added ('OK')	image/png	etag:%22e74bc-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/4/big_962cc2afa7c66ad761d9c5b4f5924301.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/4/big_962cc2afa7c66ad761d9c5b4f5924301.png	(from https://ardor-profile.herokuapp.com/)
11:06:01	1482/1482	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Mar%202018%2004:06:01%20GMT	https://ardor-profile.herokuapp.com/en/projects/12.html	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/en/projects/12.html	(from https://ardor-profile.herokuapp.com/)
11:06:02	74835/74835	---M--	200	added ('OK')	image/png	etag:%2212453-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/uploads/project_image/image/35/medium_c475c2fbfa7240d5dd6f6bcba27628eb.png	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/uploads/project_image/image/35/medium_c475c2fbfa7240d5dd6f6bcba27628eb.png	(from https://ardor-profile.herokuapp.com/)
11:06:02	14899/14899	---M--	200	added ('OK')	image/jpeg	etag:%223a33-566ad1ba92ac0%22	https://ardor-profile.herokuapp.com/assets/fallback/testimonial_photo/thumb_default-4ded8d7fea421c39a525a5e2a0e1cd738613badb6a50cefc951b8012086becb6.jpg	D:/ardor-html/ardor-html/ardor-profile.herokuapp.com/assets/fallback/testimonial_photo/thumb_default-4ded8d7fea421c39a525a5e2a0e1cd738613badb6a50cefc951b8012086becb6.jpg	(from https://ardor-profile.herokuapp.com/)
